num_layers,layer_size,activation,learning_rate,dropout,accuracy,precision,recall
2,512,elu,0.1,0.2,0.43206256109481916,0.4315841098577734,0.9966024915062288
2,512,elu,0.1,0.5,0.43206256109481916,0.4317848410757946,1.0
2,512,tanh,0.001,0,0.5259042033235581,0.44313725490196076,0.38391845979614947
2,512,tanh,0.001,0.2,0.5288367546432062,0.4528521536670547,0.4405436013590034
2,512,tanh,0.001,0.5,0.5259042033235581,0.45,0.4433748584371461
2,512,tanh,0.01,0,0.5493646138807429,0.4666666666666667,0.3091732729331823
2,512,tanh,0.01,0.2,0.5080645161290323,0.44199154532644436,0.5328425821064553
2,512,tanh,0.01,0.5,0.49437927663734116,0.44869624111073486,0.7502831257078143
2,512,tanh,0.1,0,0.5664711632453568,0.21428571428571427,0.0016987542468856172
2,512,tanh,0.1,0.2,0.5684261974584556,0,0.0
2,512,tanh,0.1,0.5,0.5625610948191594,0.42105263157894735,0.0362400906002265
2,1024,elu,0.001,0,0.5273704789833822,0.44976076555023925,0.4258210645526614
2,1024,elu,0.001,0.2,0.5041544477028348,0.43594739405747684,0.5067950169875425
2,1024,elu,0.001,0.5,0.5246823069403714,0.44409743910056215,0.40260475651189126
2,1024,elu,0.01,0,0.5681818181818182,0.0,0.0
2,1024,elu,0.01,0.2,0.5679374389051809,0.3333333333333333,0.0011325028312570782
2,1024,elu,0.01,0.5,0.4323069403714565,0.4316564417177914,0.9960362400906002
2,1024,elu,0.1,0,0.4335288367546432,0.42991366175723716,0.9586636466591166
2,1024,elu,0.1,0.2,0.4315738025415445,0.4315738025415445,1.0
2,1024,elu,0.1,0.5,0.4315738025415445,0.4315738025415445,1.0
2,1024,tanh,0.001,0,0.5290811339198436,0.44564483457123566,0.3737259343148358
2,1024,tanh,0.001,0.2,0.5161290322580645,0.44107929515418504,0.4535673839184598
2,1024,tanh,0.001,0.5,0.5478983382209188,0.4729381443298969,0.41562853907134767
2,1024,tanh,0.01,0,0.5283479960899315,0.4533560864618885,0.45130237825594566
2,1024,tanh,0.01,0.2,0.4496578690127077,0.4291545189504373,0.8335220838052095
2,1024,tanh,0.01,0.5,0.5684261974584556,0.5,0.0011325028312570782
2,1024,tanh,0.1,0,0.4315738025415445,0.4315403422982885,0.9994337485843715
2,1024,tanh,0.1,0.2,0.5686705767350929,1.0,0.0005662514156285391
2,1024,tanh,0.1,0.5,0.5681818181818182,0.0,0.0
2,2048,elu,0.001,0,0.5325024437927663,0.45877734155916994,0.46319365798414497
2,2048,elu,0.001,0.2,0.5217497556207233,0.4546748932130992,0.5424688561721405
2,2048,elu,0.001,0.5,0.5342130987292277,0.45673671199011123,0.41845979614949036
2,2048,elu,0.01,0,0.5686705767350929,1.0,0.0005662514156285391
2,2048,elu,0.01,0.2,0.4340175953079179,0.4305204648812532,0.9648924122310306
2,2048,elu,0.01,0.5,0.5610948191593352,0.4503311258278146,0.07701019252548132
2,2048,elu,0.1,0,0.4315738025415445,0.4315738025415445,1.0
2,2048,elu,0.1,0.2,0.5681818181818182,0.0,0.0
2,2048,elu,0.1,0.5,0.4315738025415445,0.4315738025415445,1.0
2,2048,tanh,0.001,0,0.530791788856305,0.45057766367137353,0.39750849377123443
2,2048,tanh,0.001,0.2,0.5334799608993157,0.45690174804098854,0.4292185730464326
2,2048,tanh,0.001,0.5,0.5149071358748778,0.4393351800554017,0.44903737259343146
2,2048,tanh,0.01,0,0.48411534701857284,0.43556219648860667,0.6602491506228766
2,2048,tanh,0.01,0.2,0.5662267839687195,0.41509433962264153,0.01245753114382786
2,2048,tanh,0.01,0.5,0.5684261974584556,0,0.0
2,2048,tanh,0.1,0,0.5525415444770283,0.41192411924119243,0.08607021517553794
2,2048,tanh,0.1,0.2,0.5684261974584556,0.5,0.0005662514156285391
2,2048,tanh,0.1,0.5,0.5686705767350929,1.0,0.0005662514156285391
4,512,elu,0.001,0,0.5141739980449658,0.43798882681564244,0.44394110985277463
4,512,elu,0.001,0.2,0.5188172043010753,0.4426877470355731,0.44394110985277463
4,512,elu,0.001,0.5,0.5339687194525904,0.4457274826789838,0.3278595696489241
4,512,elu,0.01,0,0.5679374389051809,0.0,0.0
4,512,elu,0.01,0.2,0.5684261974584556,0,0.0
4,512,elu,0.01,0.5,0.4315738025415445,0.4315738025415445,1.0
4,512,elu,0.1,0,0.5684261974584556,0,0.0
4,512,elu,0.1,0.2,0.5684261974584556,0,0.0
4,512,elu,0.1,0.5,0.5681818181818182,0.3333333333333333,0.0005662514156285391
4,512,tanh,0.001,0,0.520772238514174,0.4424778761061947,0.4246885617214043
4,512,tanh,0.001,0.2,0.5361681329423265,0.4612220916568743,0.4445073612684032
4,512,tanh,0.001,0.5,0.5193059628543499,0.4404973357015986,0.42129105322763305
4,512,tanh,0.01,0,0.5613391984359726,0.44802867383512546,0.07078142695356739
4,512,tanh,0.01,0.2,0.5503421309872922,0.41232227488151657,0.0985277463193658
4,512,tanh,0.01,0.5,0.4315738025415445,0.4315738025415445,1.0
4,512,tanh,0.1,0,0.43132942326490714,0.4314348570031777,0.9994337485843715
4,512,tanh,0.1,0.2,0.5684261974584556,0,0.0
4,512,tanh,0.1,0.5,0.4315738025415445,0.4315738025415445,1.0
4,1024,elu,0.001,0,0.5312805474095796,0.45632183908045976,0.44960362400906
4,1024,elu,0.001,0.2,0.5261485826001955,0.4530146659424226,0.4722536806342016
4,1024,elu,0.001,0.5,0.5557184750733137,0.4721030042918455,0.2491506228765572
4,1024,elu,0.01,0,0.5684261974584556,0,0.0
4,1024,elu,0.01,0.2,0.5684261974584556,0,0.0
4,1024,elu,0.01,0.5,0.5689149560117303,1.0,0.0011325028312570782
4,1024,elu,0.1,0,0.5684261974584556,0,0.0
4,1024,elu,0.1,0.2,0.5684261974584556,0,0.0
